"Category","Query"
"Community Orgs & CDCs","community centers in North Portland, OR"
"Community Orgs & CDCs","nonprofits in Northeast Portland, OR"
"Community Orgs & CDCs","community development corporations in North Portland, OR"
"Community Orgs & CDCs","social services near St. Johns, Portland, OR"
"Community Orgs & CDCs","youth centers in Northeast Portland, OR"
"Business Associations","business associations in Northeast Portland, OR"
"Business Associations","chamber of commerce in North Portland, OR"
"Business Associations","neighborhood associations in North Portland, OR"
"Schools","public schools in North Portland, OR"
"Schools","high schools in Northeast Portland, OR"
"Libraries","Multnomah County Library in North Portland, OR"
"Libraries","libraries in Northeast Portland, OR"
"Churches/Religious Orgs","places of worship in North Portland, OR"
"Churches/Religious Orgs","churches in Northeast Portland, OR"
"Churches/Religious Orgs","mosques in North Portland, OR"
"Churches/Religious Orgs","temples in Northeast Portland, OR"
"Cultural Organizations","cultural centers in Northeast Portland, OR"
"Cultural Organizations","museums in North Portland, OR"
"Cultural Organizations","art galleries near Mississippi Ave, Portland, OR"
"Cultural Organizations","performing arts in Lloyd District, Portland, OR"
"Cultural Organizations","theaters in North Portland, OR"
"Public Spaces","community gardens in North Portland, OR"
"Public Spaces","plazas in Northeast Portland, OR"
"Public Spaces","public squares near Hollywood district, Portland, OR"
"Media Sources","newspaper publishers in North Portland, OR"
"Media Sources","radio stations in Northeast Portland, OR"
"Media Sources","media organizations in North Portland, OR"
"Health & Social Safety Net","food pantries in North Portland, OR"
"Health & Social Safety Net","mutual aid in Northeast Portland, OR"
"Health & Social Safety Net","senior centers in Portland, OR"
"Health & Social Safety Net","free clinics in Northeast Portland, OR"
"Economic Assets","credit unions in North Portland, OR"
"Economic Assets","farmers markets in Northeast Portland, OR"
"Economic Assets","tool libraries in North Portland, OR"
"Education & Training","community colleges in North Portland, OR"
"Education & Training","vocational training in Northeast Portland, OR"
"Labor & Organizing","union halls in North Portland, OR"
"Housing & Tenants Rights","affordable housing providers in Northeast Portland, OR"
"Housing & Tenants Rights","community land trusts in North Portland, OR"
"Housing & Tenants Rights","tenant advocacy in Portland, OR"
"Early Childhood","childcare centers in North Portland, OR"
"Early Childhood","head start programs in Northeast Portland, OR"
"Culturally Specific Orgs","immigrant and refugee services in Northeast Portland, OR"
"Culturally Specific Orgs","indigenous community organizations in North Portland, OR"
"Environmental Justice","environmental organizations in North Portland, OR"
"Transportation","bike cooperatives in Northeast Portland, OR"
